location,code,providce,city,population,move_out_pop,move_in_pop,move_out_rate,move_in_rate,50인 이상 사업체,농가 인구,소멸,사회복지비율,공무원수,재정자립도
경상북도 포항시,47111,경상북도,포항시,"502,916",50825,53002,10.11,10.54,5.48,6.11,59.33,37.1,0.44,24.6
경상북도 포항시,47113,경상북도,포항시,"502,916",50825,53002,10.11,10.54,5.48,6.11,59.33,37.1,0.44,24.6
경상북도 경주시,47130,경상북도,경주시,"253,502",42928,46623,16.93,18.39,5.12,10.45,41.18,27.8,0.66,19.6
경상북도 김천시,47150,경상북도,김천시,"140,548",24041,26984,17.11,19.20,5.57,18.89,41.65,28.1,0.82,13.4
경상북도 안동시,47170,경상북도,안동시,"158,907",33419,29202,21.03,18.38,3.95,15.84,38.42,27.6,0.88,10.6
경상북도 구미시,47190,경상북도,구미시,"416,328",73765,80152,17.72,19.25,5.45,5.87,139.86,39.3,0.42,37.9
경상북도 영주시,47210,경상북도,영주시,"103,119",13476,12552,13.07,12.17,3.63,17.26,28.19,29.1,1.06,11.5
경상북도 영천시,47230,경상북도,영천시,"102,015",28130,33180,27.57,32.52,5.00,18.00,29.20,25.8,1.04,15.4
경상북도 상주시,47250,경상북도,상주시,"97,228",17245,16864,17.74,17.34,3.26,26.89,22.46,20.6,1.23,8.4
경상북도 문경시,47280,경상북도,문경시,"71,406",13729,13453,19.23,18.84,4.07,20.63,25.00,23.9,1.30,11.3
경상북도 경산시,47290,경상북도,경산시,"263,728",77647,92938,29.44,35.24,4.47,6.60,71.13,33.7,0.47,24.6
경상북도 군위군,47720,경상북도,군위군,"23,256",8144,8655,35.02,37.22,3.73,31.32,12.21,16.8,2.23,7.4
경상북도 의성군,47730,경상북도,의성군,"51,724",12462,13048,24.09,25.23,3.58,32.49,12.94,27.2,1.70,8.9
경상북도 청송군,47750,경상북도,청송군,"25,044",6555,6390,26.17,25.52,2.79,40.90,14.60,22.4,1.94,7.8
경상북도 영양군,47760,경상북도,영양군,"16,692",3326,3014,19.93,18.06,3.20,31.25,15.05,19.9,2.98,6.1
경상북도 영덕군,47770,경상북도,영덕군,"36,313",8648,7542,23.82,20.77,2.01,18.59,15.90,22.8,1.57,8.8
경상북도 청도군,47820,경상북도,청도군,"42,263",11325,11959,26.80,28.30,2.56,32.30,15.34,24.1,1.42,10.3
경상북도 고령군,47830,경상북도,고령군,"31,361",11862,10199,37.82,32.52,2.19,23.85,20.96,23,1.91,11.7
경상북도 성주군,47840,경상북도,성주군,"43,414",15409,15527,35.49,35.76,2.51,25.56,20.85,19.2,1.49,12.2
경상북도 칠곡군,47850,경상북도,칠곡군,"114,758",41331,37880,36.02,33.01,3.82,9.84,65.27,34.5,0.69,23
경상북도 예천군,47900,경상북도,예천군,"55,613",12800,23037,23.02,41.42,2.51,25.92,26.71,24.9,1.21,10.2
경상북도 봉화군,47920,경상북도,봉화군,"31,494",6346,5331,20.15,16.93,2.26,34.75,14.89,18.7,2.06,6.2
경상북도 울진군,47930,경상북도,울진군,"48,716",8395,7542,17.23,15.48,2.75,15.38,27.67,25.7,1.39,10.7
경상북도 울릉군,47940,경상북도,울릉군,"9,077",4370,3787,48.14,41.72,0.88,10.05,28.00,9.2,4.27,8.4
대구광역시,27,대구광역시,대구광역시,2418346,254419,235232,10.52,9.73,0.01,2.51,72.68,47.5,0.45,45.4
울산광역시,31,울산광역시,울산광역시,1136017,65230,51159,5.74,4.50,2.25,3.24,93.82,42.7,0.50,51.6
강원도 태백시,42190,강원도,태백시,"42,719",1811,1512,4.24,3.54,1.29,3.46,31.19,27.7,1.40,18.5
강원도 삼척시,42230,강원도,삼척시,"65,243",2319,2424,3.55,3.72,3.66,12.66,35.28,25.7,1.29,13.5
강원도 영월군,42750,강원도,영월군,"38,662",850,872,2.20,2.26,2.63,15.93,23.09,21.9,1.54,15.2
충청북도 충주시,43130,충청북도,충주시,"210,186",4225,5660,2.01,2.69,5.59,9.61,50.42,33.6,0.69,18.2
충청북도 제천시,43150,충청북도,제천시,"133,018",2661,2978,2.00,2.24,3.47,10.56,43.67,31.6,0.83,15.3
충청북도 보은군,43720,충청북도,보은군,"32,412",697,750,2.15,2.31,5.53,27.03,17.72,20.1,2.05,9.5
충청북도 옥천군,43730,충청북도,옥천군,"50,527",809,860,1.60,1.70,3.51,22.33,24.86,31.4,1.40,11.4
충청북도 영동군,43740,충청북도,영동군,"47,475",2596,2600,5.47,5.48,3.03,26.72,23.20,22.8,1.45,8.1
충청북도 괴산군,43760,충청북도,괴산군,"39,393",903,985,2.29,2.50,4.85,27.18,19.12,18.9,1.78,8.6
충청북도 단양군,43800,충청북도,단양군,"29,155",864,939,2.96,3.22,4.70,22.03,20.65,22,2.13,11.6
전라북도 무주군,45730,전라북도,무주군,"24,036",464,544,1.93,2.26,3.30,38.86,19.34,21,2.10,8.5
경상남도 밀양시,48270,경상남도,밀양시,"104,831",5860,5748,5.59,5.48,4.17,18.35,27.18,28.5,0.96,13.7
경상남도 창녕군,48740,경상남도,창녕군,"61,301",8358,7590,13.63,12.38,4.61,21.96,23.08,27.3,1.27,12.5
경상남도 거창군,48880,경상남도,거창군,"61,502",4089,4253,6.65,6.92,4.43,21.72,28.66,22.7,1.16,8.9
경상남도 합천군,48890,경상남도,합천군,"44,006",5760,5126,13.09,11.65,5.07,30.46,13.89,18.3,1.65,8.8
